Site,Date,Area,mean.TA,mean.DIC,Salinity,DO (%),DO (mg/l),Temperature,Omega.aragonite
LL,201806,Hood Canal Intertidal,1970.715,1763.2122,29,113,9.84,16,2.3004247361416517
PO,201806,Hood Canal Intertidal,1983.085,1763.5306,27,96,8.5,15.51,2.4672483874721225
TW,201806,Hood Canal Intertidal,1868.975,1680.4345,25,94.9,8.17,16.87,2.1598455035123085
CP,201806,San Juan Islands,2102.415,1900.2463,34,101,9.4,12,2.154955996891646
LK,201806,San Juan Islands,2109.675,1968.8591,34,116.5,10.68,12.53,1.6125804859007562
FH,201806,San Juan Islands,2118.155,1851.2783,31,86.5,8.11,11.55,2.853891525839102
SA,201807,Hood Canal Intertidal,2145.8067,1914.7494,31,97.1,8.88,13.22,2.5358216953670225
TR,201807,Hood Canal Intertidal,1998.7967,1747.9586,26,97.6,7.85,20.4,2.9137133643755
LL,201807,Hood Canal Intertidal,1888.2167,1609.2283,15,118,9.8,19.2,3.5831345395784098
PO,201807,Hood Canal Intertidal,1954.0667,1728.197,22,103,8.3,20.4,2.735643607149154
TW,201807,Hood Canal Intertidal,1864.9667,1620.2079,18,112,8.8,22.6,3.110491057562189
CP,201807,San Juan Islands,2136.5467,1922.7358,32,101,9.51,12,2.3250208513083512
LK,201807,San Juan Islands,2080.6367,1857.1973,32,116,10.86,12.47,2.3953943619795144
FH,201807,San Juan Islands,2111.6067,1969.4361,30,77,7.3,11.8,1.6728444743730169
SA,201808,Hood Canal Intertidal,2242.0467,1844.2141,30,117,10.5,15.13,4.37705406504754
TR,201808,Hood Canal Intertidal,2002.1267,1637.3027,25,80,6.17,22.6,4.2596842075861225
LL,201808,Hood Canal Intertidal,1877.5267,1602.3244,20,82,6.59,21.5,3.347773368768914
PO,201808,Hood Canal Intertidal,1772.0767,1625.2036,17,71,5.63,22.4,1.9497928309989179
TW,201808,Hood Canal Intertidal,1919.4967,1733.46,21,68.7,5.3,23.2,2.3576948120211996
CP,201808,San Juan Islands,2159.0867,1773.2901,32,102,9.45,12.8,4.059693354505348
LK,201808,San Juan Islands,2175.3167,1872.8786,31,92.6,8.75,12.14,3.2510681604987695
FH,201808,San Juan Islands,2133.8067,2005.3869,30,60,5.4,12,1.559235337880922
SA,201809,Hood Canal Intertidal,NA,NA,31,NA,NA,13.6,NA
TR,201809,Hood Canal Intertidal,NA,NA,30,NA,NA,13.44,NA
LL,201809,Hood Canal Intertidal,NA,NA,30,NA,NA,12.1,NA
PO,201809,Hood Canal Intertidal,NA,NA,23,NA,NA,11.4,NA
TW,201809,Hood Canal Intertidal,NA,NA,28,NA,NA,18.1,NA
CP,201809,San Juan Islands,NA,NA,35,NA,NA,11,NA
LK,201809,San Juan Islands,NA,NA,34,NA,NA,11.37,NA
FH,201809,San Juan Islands,NA,NA,31,NA,NA,11.12,NA
SA,201810,Hood Canal Intertidal,NA,NA,35,NA,NA,12,NA
TR,201810,Hood Canal Intertidal,NA,NA,31,NA,NA,12.6,NA
LL,201810,Hood Canal Intertidal,NA,NA,27,NA,NA,11,NA
PO,201810,Hood Canal Intertidal,NA,NA,28,NA,NA,11.13,NA
TW,201810,Hood Canal Intertidal,NA,NA,30,NA,NA,13.2,NA
CP,201810,San Juan Islands,NA,NA,34,NA,NA,10.3,NA
LK,201810,San Juan Islands,NA,NA,35,NA,NA,10.2,NA
FH,201810,San Juan Islands,NA,NA,34,NA,NA,10.2,NA
SA,201811,Hood Canal Intertidal,NA,NA,34,NA,NA,10.52,NA
TR,201811,Hood Canal Intertidal,NA,NA,35,NA,NA,10.5,NA
LL,201811,Hood Canal Intertidal,NA,NA,30,NA,NA,9.5,NA
PO,201811,Hood Canal Intertidal,NA,NA,30,NA,NA,9.88,NA
TW,201811,Hood Canal Intertidal,NA,NA,25,NA,NA,9.56,NA
SA,201812,Hood Canal Intertidal,NA,NA,32,76,7.5,9.3,NA
TR,201812,Hood Canal Intertidal,NA,NA,32,67.6,6.5,9.8,NA
LL,201812,Hood Canal Intertidal,NA,NA,31,67.7,6.5,9.15,NA
PO,201812,Hood Canal Intertidal,NA,NA,30,51,5.16,9.46,NA
TW,201812,Hood Canal Intertidal,NA,NA,28,58,5.95,9.2,NA
CP,201901,San Juan Islands,NA,NA,35,97,9.8,8.5,NA
LK,201901,San Juan Islands,NA,NA,35,93,9.3,8.75,NA
FH,201901,San Juan Islands,NA,NA,35,89.7,8.99,8.67,NA
CP,201902,San Juan Islands,NA,NA,34,99.1,10.32,7.33,NA
LK,201902,San Juan Islands,NA,NA,34,108,10.82,8.03,NA
FH,201902,San Juan Islands,NA,NA,34,102,10.31,7.7,NA
SA,201903,Hood Canal Intertidal,NA,NA,31,100,9.8,9.8,NA
TR,201903,Hood Canal Intertidal,NA,NA,25,103,9.8,11.6,NA
LL,201903,Hood Canal Intertidal,NA,NA,28,NA,NA,11.2,NA
PO,201903,Hood Canal Intertidal,NA,NA,23,108,NA,11.1,NA
TW,201903,Hood Canal Intertidal,NA,NA,27,93,9.3,10.7,NA
